,Location,hostname,interface,hostname.1,interface.1
280,PARIS,PAR-T1A-P96X-HCR01,TE_2/2/3,PAR-T1A-PV0X-HPE01,TE_1/1/14
281,LOS ANGELES,LA-T1A-CR01,GIGABITETHERNET3/16,LA-T1A-CR02,GIGABITETHERNET3/16
282,SINGAPORE2,SI2-T1A-SVQX-HCR02,GE_1/1/5,SI2-T1A-RT01,GIGABITETHERNET3/0/1
283,BUDAPEST,BUD-T1A-RT01,GIGABITETHERNET3/0/0,BUD-T1A-RT02,GIGABITETHERNET3/0/0
284,CAPE TOWN,CAP-T1A-EAGX-HRT01,GE_1/1/4,CAP-T1A-RT01,GIGABITETHERNET0/3
285,VIETNAM2,VI2-T1A-YQLX-HRT01,GE_2/1/25,VI-T1A-ASGNA-ACN-RT02,GIGABITETHERNET0/0/0
286,LONDON,LN-T1A-L78X-HCR02,GE_1/1/3,LN-T1A-RT05,GIGABITETHERNET3/0/0
287,FRANKFURT2,FFT2-T1A-FEQX-HRT01,TE_2/1/14,FFT2-T1A-FEQ-RT02,TENGIGABITETHERNET8/2
288,MELBOURNE2,MLB2-T1A-JN1X-HRT01,TE_2/2/14,MLB-T1A-1MEX-HRT01,TE_5/1/14
289,SYDNEY,SY-T1A-M3HX-HRT01,TE_5/1/13,SY-T1A-1MHX-HRT02,TE_3/1/13
290,HELSINKI,HEL1-T1A-HRT01,GE_2/1/2,FFT-T1A-FNM-HCR01,GE_2/1/9
291,PARIS,PAR-T1A-P96X-HCR01,TE_5/2/14,LN-T1A-HCR01,TE_3/1/14
292,FRANKFURT,FFT-T1A-FNMX-HCR02,GE_5/1/7,WA-T1A-WZNX-HRT01,GE_1/1/11
293,SYDNEY,SY-T1A-M3HX-HRT01,TE_1/1/13,SY-T1A-1MHX-HRT02,TE_1/1/13
294,MADRID,MA-T1A-WV6X-HRT01,GE_3/2/20,PAR-T1A-PV0X-HPE01,GE_2/2/20
295,SINGAPORE2,SI2-T1A-SVQX-HCR02,GE_2/2/4,SI2-T1A-SVQX-HPE01,GE_3/1/13
296,ATLANTA,ATL-T1A-A56X-HRT01,TE_5/1/13,ATL-T1A-RT02,TENGIGABITETHERNET7/1
297,LONDON,LN-T1A-HCR01,TE_4/1/4,LN-T1A-L78X-HPE02,TE_3/1/13
298,CHICAGO,CH-T1A-RT01,GIGABITETHERNET7/1/3,CH-T1A-CT8X-HPE01,GE_1/1/1
299,MIAMI,MIA-T1A-MLNX-HPE02,GE_1/1/10,ATL-T1A-A56X-RT04,GIGABITETHERNET0/0/1
300,SINGAPORE,SI-T1A-HCR01,TE_2/2/4:101,TK-T1A-T0VX-HCR01,TE_2/1/3:101
301,ATLANTA,ATL-T1A-A56X-HRT01,TE_1/1/13,ATL-T1A-RT02,TENGIGABITETHERNET4/1
302,NEW JERSEY,NJ-T1A-NJYX-HCR02,TE_3/1/1,NJ-T1A-NJYX-HPE02,TE_1/1/14
303,NEW YORK,NY-T1A-RT01,GIGABITETHERNET4/0/1,NY-T1A-CR02,GIGABITETHERNET3/7
304,AMSTERDAM,AM-T1A-A99X-HRT01,TE_5/1/13,AM-T1A-HRT03,TE_1/1/14
305,TOKYO3,EMI-T1A-CR01,POS1/1/0,TK2-T1A-RT01,POS1/1/1
306,MANILA,MLA-T1A-P98X-HRT02,GE_1/1/9,MLA-T1A-P98X-RT03,GIGABITETHERNET1/0/2
307,ASHBURN,ASH-T1A-AE6X-HRT03,GE_1/1/9,ASH-T1A-AE6X-RT04,GIGABITETHERNET0/0/3
308,NEW YORK,NY-T1A-CR03,GIGABITETHERNET3/14,NY-T1A-N99X-HPE02,GE_1/1/11
