Location,hostname,hostIP,interface,InterfaceIP,,Location,hostname,hostIP,interface,InterfaceIP,,Region,
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, TE_1/2/1, 172.31.24.189,400, ASHBURN, ash-t1a-ae6x-hrt01, 92.168.194.135, TE_1/1/14, 172.31.24.190,400,  americas,5.32
SYDNEY2, sy2-t1a-0ppx-hrt01, 192.168.194.46, TE_5/1/14, 172.28.139.50,100, SYDNEY, sy-t1a-1mhx-hrt02, 192.168.201.54, TE_3/2/1, 172.28.139.49,100,  apac,1.52
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, STM4_5/2/10, 172.31.59.30,4000, TAIPEI, tai-t1a-rt01, 192.168.253.56, POS2/0/0, 172.31.59.29,4000,  apac,20
LOS ANGELES, la-t1a-27gx-hpe01, 192.168.194.150, GE_1/1/2, 172.31.236.157,50, LOS ANGELES, la-t1a-cr01, 192.168.248.28, GigabitEthernet3/4, 172.31.236.158,50,  americas,  
ZURICH, zu-t1a-rt01, 192.168.246.40, GigabitEthernet2/1/1, 172.28.131.117,3500, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, GE_2/1/1, 172.28.131.118,3500,  europe,33
MOROCCO, mor-t1a-52wx-hrt01, 192.168.201.61, GE_2/1/23, 172.31.185.245,10, MOROCCO, mor-t1a-52wx-hrt02, 192.168.201.74, GE_2/1/23, 172.31.185.246,10,  europe,  
FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, GE_1/1/6, 172.31.26.46,5400, STOCKHOLM, sto-t1a-stkx-hrt02, 192.168.201.88, GE_1/1/13, 172.31.26.45,5400,  europe,28.8
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, GE_5/1/2, 172.29.213.233,1000, LONDON, ln-t1a-rt04-PE, 192.168.246.6, GigabitEthernet7/0/0, 172.29.213.234,1000,  europe,  
LUANDA, lua-t1a-alada-acn-rt01, 192.168.194.241, GigabitEthernet0/0/1, 172.26.11.249,10, LUANDA, lua-t1a-alada-acn-rt02, 192.168.194.242, GigabitEthernet0/0/1, 172.26.11.250,10,  africa,  
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, TE_2/2/4, 172.31.205.202,15, SINGAPORE2, si2-t1a-svqx-hpe01, 192.168.201.36, TE_1/1/13, 172.31.205.201,15,  apac,  
FRANKFURT2, fft2-t1a-feqx-hrt01, 192.168.194.195, GE_5/1/2, 172.31.207.149,65535, FRANKFURT2, fft2-t1a-feq-rt02, 192.168.247.9, GigabitEthernet7/2, 172.31.207.150,65535,  europe,  
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, TE_1/1/14, 172.29.213.81,1000, FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, TE_1/1/14, 172.29.213.82,1000,  europe,  
