Location,hostname,hostIP,interface,InterfaceIP,,Location,hostname,hostIP,interface,InterfaceIP,,Region,
SINGAPORE, si-t1a-hcr01, 192.168.250.14, GE_3/1/2, 172.31.124.5,10, SINGAPORE, si-t1a-rt01, 192.168.250.2, GigabitEthernet3/0/2, 172.31.124.6,10,  apac,  
CAPE TOWN, cap-t1a-acpta-acn-rt01, 192.168.201.75, GigabitEthernet0/1/0, 172.28.128.49,65535, CAPE TOWN, cap-t1a-acpta-acn-rt02, 192.168.201.76, GigabitEthernet0/1/0, 172.28.128.50,65535,  africa,  
CAPE TOWN, cap-t1a-eagx-hrt01, 192.168.194.178, GE_1/1/1, 172.31.207.93,400, Johannesburg, job-t1a-eopx-hrt01, 192.168.194.182, GE_5/1/1, 172.31.207.94,400,  africa,20.3
LONDON, ln-t1a-hcr01, 192.168.246.13, GE_3/1/2, 172.31.24.121,1000, LONDON, ln-t1a-rt04-PE, 192.168.246.6, GigabitEthernet7/0/2, 172.31.24.122,1000,  europe,  
MILAN, mil-t1a-itmx-hrt01, 192.168.194.163, GE_1/1/1, 172.31.237.77,10, MILAN, mil-t1a-rt02, 192.168.246.153, GigabitEthernet3/0/4, 172.31.237.78,10,  europe,  
MILAN, mil-t1a-itmx-hrt01, 192.168.194.163, TE_5/1/13, 172.26.11.181,3669, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, TE_2/2/3, 172.26.11.182,3669,  europe,9.85
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, TE_5/1/14, 172.31.247.125,15, LONDON, ln-t1a-l78x-hpe02, 192.168.246.171, TE_10/1/14, 172.31.247.126,15,  europe,  
LOS ANGELES, la-t1a-27gx-hcr01, 192.168.194.229, GE_1/1/1, 172.31.202.117,65535, LOS ANGELES, la-t1a-rt02, 192.168.248.18, GigabitEthernet3/2/0, 172.31.202.118,65535,  americas,  
DALLAS, da-t1a-d0vx-hpe01, 192.168.247.23, TE_5/1/14, 172.31.190.10,10, DALLAS, da-t1a-rt03, 192.168.251.35, TenGigabitEthernet7/2, 172.31.190.9,10,  americas,  
MIAMI, mia-t1a-rt01, 192.168.248.22, GigabitEthernet3/1/3, 172.31.27.38,15, MIAMI, mia-t1a-rt05-ASBR, 192.168.248.31, GigabitEthernet0/0/1, 172.31.27.37,15,  americas,  
SINGAPORE, si-t1a-svwx-hcr02, 192.168.194.131, GE_1/1/11, 172.31.39.9,15, SINGAPORE, si-t1a-svwx-rt07-asbr, 192.168.250.30, GigabitEthernet0/1, 172.31.39.10,15,  apac,  
CAPE TOWN, cap-t1a-eagx-hrt01, 192.168.194.178, GE_5/1/6, 172.28.128.53,65535, CAPE TOWN, cap-t1a-acpta-acn-rt01, 192.168.201.75, GigabitEthernet0/0/0, 172.28.128.54,65535,  africa,  
SINGAPORE, tcx-t1a-ih4x-hrt02, 192.168.201.43, GE_1/1/25, 172.31.205.253,10, SINGAPORE, tcx-t1a-ih4x-hrt01, 192.168.201.5, GE_1/1/25, 172.31.205.254,10,  apac,  
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, GE_5/1/11, 172.20.248.181,19000, Toronto2, tor2-t1a-tttx-hrt01, 192.168.194.187, GE_5/1/4, 172.20.248.182,19000,  americas,11.8
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, GE_5/1/7, 172.31.207.186,65535, LONDON, ln-t1a-l78x-hrv01, 192.168.194.201, GE_5/1/1, 172.31.207.185,65535,  europe,  
JOHANNESBURG, jo-t1a-rt01, 192.168.246.16, GigabitEthernet7/0/1, 172.29.217.62,50000, HARARE, har-t1a-hrt01, 192.168.246.18, GE_1/7/2, 172.29.217.61,50000,  africa,18.2
